year,month,temp,npositive
1958,1,246.0726105483871,0.0
1958,2,242.9739367142857,0.0
1958,3,246.83921138709678,0.0
1958,4,251.2638448,0.0
1958,5,265.39798567741934,0.0
1958,6,273.29154086666665,20.0
1958,7,274.3927595483871,31.0
1958,8,273.062810032258,18.0
1958,9,264.8827465,0.0
1958,10,254.31390377419356,0.0
1958,11,247.26110246666667,0.0
1958,12,246.51399416129033,0.0
1959,1,242.3585867096774,0.0
1959,2,240.77468621428574,0.0
1959,3,246.6898154516129,0.0
1959,4,256.17886376666667,0.0
1959,5,266.0501027419355,0.0
1959,6,273.67419390000003,20.0
1959,7,274.44631487096774,31.0
1959,8,272.96890574193543,16.0
1959,9,265.2981603,0.0
1959,10,257.1634758709677,0.0
1959,11,252.76747133333336,0.0
1959,12,244.31546377419355,0.0
1960,1,245.49796529032258,0.0
1960,2,240.15156986206898,0.0
1960,3,240.802278483871,0.0
1960,4,252.5948905666667,0.0
1960,5,266.84367706451616,0.0
1960,6,273.7802561,27.0
1960,7,274.6339570645161,31.0
1960,8,272.9584305483871,15.0
1960,9,266.99780223333335,0.0
1960,10,254.6095424516129,0.0
1960,11,247.7516027,0.0
1960,12,244.51955877419354,0.0
1961,1,242.7836116129032,0.0
1961,2,240.17333064285714,0.0
1961,3,243.1463046129032,0.0
1961,4,252.86473636666668,0.0
1961,5,263.19313187096776,0.0
1961,6,273.328289,20.0
1961,7,274.4578196451613,31.0
1961,8,272.5976754516129,16.0
1961,9,264.7291851666667,0.0
1961,10,256.69027403225806,0.0
1961,11,246.6824169,0.0
1961,12,241.15491229032259,0.0
1962,1,242.09472912903226,0.0
1962,2,242.41753678571428,0.0
1962,3,247.84556141935482,0.0
1962,4,252.45255343333335,0.0
1962,5,263.0574192258065,0.0
1962,6,273.5258745666667,22.0
1962,7,274.41905522580646,31.0
1962,8,272.4299006129032,12.0
1962,9,262.5450911666667,0.0
1962,10,254.57768922580644,0.0
1962,11,251.7110552,0.0
1962,12,242.43579561290323,0.0
1963,1,238.1126857419355,0.0
1963,2,239.2081727857143,0.0
1963,3,240.58298932258066,0.0
1963,4,251.0693317,0.0
1963,5,265.18235032258065,0.0
1963,6,273.4331663333333,22.0
1963,7,274.35068990322577,31.0
1963,8,272.99197164516124,17.0
1963,9,264.5930974,0.0
1963,10,253.9308556451613,0.0
1963,11,247.5940767333333,0.0
1963,12,245.4964549032258,0.0
1964,1,238.54509722580647,0.0
1964,2,241.77983486206898,0.0
1964,3,242.05817096774192,0.0
1964,4,250.83861746666668,0.0
1964,5,262.51812432258066,0.0
1964,6,273.3004534333333,22.0
1964,7,274.2049215806452,31.0
1964,8,273.06139616129036,21.0
1964,9,264.4946549333333,0.0
1964,10,256.54442222580644,0.0
1964,11,248.82153366666668,0.0
1964,12,245.4856197419355,0.0
1965,1,243.23545761290322,0.0
1965,2,244.708225,0.0
1965,3,243.56021051612902,0.0
1965,4,252.94650776666668,0.0
1965,5,264.4478689032258,0.0
1965,6,273.49313236666666,21.0
1965,7,274.39043448387093,31.0
1965,8,273.1697209354839,19.0
1965,9,266.41593496666667,0.0
1965,10,255.1054511935484,0.0
1965,11,254.7277227,0.0
1965,12,243.41513177419355,0.0
1966,1,240.06532603225807,0.0
1966,2,243.1189189642857,0.0
1966,3,240.89957222580645,0.0
1966,4,251.8253457,0.0
1966,5,264.2450055483871,0.0
1966,6,272.57646216666666,14.0
1966,7,274.43973932258064,31.0
1966,8,273.0478780645161,21.0
1966,9,265.28928456666665,0.0
1966,10,251.2499016451613,0.0
1966,11,248.84857056666667,0.0
1966,12,248.13246329032256,0.0
1967,1,240.85006158064516,0.0
1967,2,238.03291557142856,0.0
1967,3,246.4449943548387,0.0
1967,4,254.98063893333335,0.0
1967,5,266.5497558387097,0.0
1967,6,273.347243,20.0
1967,7,274.31358277419355,31.0
1967,8,272.8447940967742,15.0
1967,9,267.80297083333335,0.0
1967,10,258.2242009032258,0.0
1967,11,249.17208453333333,0.0
1967,12,246.58506851612904,0.0
1968,1,245.5423622903226,0.0
1968,2,241.28603968965518,0.0
1968,3,245.39928087096774,0.0
1968,4,253.21228293333334,0.0
1968,5,265.1929071290323,0.0
1968,6,273.5922055333333,19.0
1968,7,274.3699249354838,31.0
1968,8,272.99776877419356,19.0
1968,9,265.06195456666666,0.0
1968,10,255.12570003225807,0.0
1968,11,245.082868,0.0
1968,12,242.44827829032258,0.0
1969,1,242.92940512903226,0.0
1969,2,243.75572767857145,0.0
1969,3,239.67456132258064,0.0
1969,4,249.89070346666668,0.0
1969,5,264.913346,0.0
1969,6,272.84815876666664,19.0
1969,7,274.09251945161293,31.0
1969,8,272.5277109354839,14.0
1969,9,266.18293173333336,0.0
1969,10,256.7408895483871,0.0
1969,11,250.29031156666667,0.0
1969,12,249.31743577419354,0.0
1970,1,243.9293557096774,0.0
1970,2,243.49273264285713,0.0
1970,3,245.11749141935485,0.0
1970,4,250.33153736666665,0.0
1970,5,264.8986296451613,0.0
1970,6,273.1747880666666,18.0
1970,7,274.3204058387097,31.0
1970,8,272.6921108709678,15.0
1970,9,265.66375626666667,0.0
1970,10,256.3895481290323,0.0
1970,11,248.70494490000002,0.0
1970,12,243.99340661290324,0.0
1971,1,239.0573429032258,0.0
1971,2,249.6925274642857,0.0
1971,3,246.55574858064514,0.0
1971,4,254.5723158,0.0
1971,5,266.67615303225807,0.0
1971,6,273.5882924,22.0
1971,7,274.3433726774194,31.0
1971,8,272.57329896774195,9.0
1971,9,267.06857583333334,0.0
1971,10,255.32695477419355,0.0
